code,site,location,landuse,species,abundance
VB001,A,Haarzuilens,Food_forest,total,24352.44478
VB002,A,Haarzuilens,Food_forest,total,36283.09707
VB003,A,Haarzuilens,Food_forest,total,34478.39717
VB004,A,Haarzuilens,Food_forest,total,32701.83058
VB005,A,Haarzuilens,Food_forest,total,28790.05593
VB006,A,Haarzuilens,Food_forest,total,4210.800883
VB007,B,Haarzuilens,Grassland,total,24563.40212
VB008,B,Haarzuilens,Grassland,total,19102.1258
VB009,B,Haarzuilens,Grassland,total,36682.6541
VB010,B,Haarzuilens,Grassland,total,82128.90849
VB011,B,Haarzuilens,Grassland,total,29155.57218
VB012,B,Haarzuilens,Grassland,total,47326.32401
VB013,C,Haarzuilens,Forest,total,17820.11709
VB014,C,Haarzuilens,Forest,total,5341.59479
VB015,C,Haarzuilens,Forest,total,5426.866756
VB016,C,Haarzuilens,Forest,total,32108.8794
VB017,C,Haarzuilens,Forest,total,11834.4228
VB018,C,Haarzuilens,Forest,total,23661.55512
VB019,D,Haarzuilens,Arable_field,total,5340.511447
VB020,D,Haarzuilens,Arable_field,total,10475.03097
VB021,D,Haarzuilens,Arable_field,total,17182.82006
VB022,D,Haarzuilens,Arable_field,total,19909.76064
VB023,D,Haarzuilens,Arable_field,total,14496.31541
VB024,D,Haarzuilens,Arable_field,total,5318.065427
VB025,E,Vlaardingen,Forest,total,9121.310333
VB026,E,Vlaardingen,Forest,total,17587.07041
VB027,E,Vlaardingen,Forest,total,32087.05987
VB028,E,Vlaardingen,Forest,total,31180.80994
VB029,E,Vlaardingen,Forest,total,22011.62298
VB030,E,Vlaardingen,Forest,total,35327.99724
VB031,F,Vlaardingen,Grassland,total,26841.89417
VB032,F,Vlaardingen,Grassland,total,32548.81424
VB033,F,Vlaardingen,Grassland,total,71558.35516
VB034,F,Vlaardingen,Grassland,total,25311.91202
VB035,F,Vlaardingen,Grassland,total,28851.40361
VB036,F,Vlaardingen,Grassland,total,39190.70093
VB037,G,Vlaardingen,Food_forest,total,16536.18355
VB038,G,Vlaardingen,Food_forest,total,18984.24976
VB039,G,Vlaardingen,Food_forest,total,17221.11156
VB040,G,Vlaardingen,Food_forest,total,28637.1311
VB041,G,Vlaardingen,Food_forest,total,42727.46069
VB042,G,Vlaardingen,Food_forest,total,36151.44923
VB043,H,Boelenslaan,Food_forest,total,7419.214245
VB044,H,Boelenslaan,Food_forest,total,NA
VB045,H,Boelenslaan,Food_forest,total,14243.20218
VB046,H,Boelenslaan,Food_forest,total,8638.088197
VB047,H,Boelenslaan,Food_forest,total,28820.83277
VB048,H,Boelenslaan,Food_forest,total,12319.27089
VB049,I,Boelenslaan,Grassland,total,22111.6662
VB050,I,Boelenslaan,Grassland,total,21213.81417
VB051,I,Boelenslaan,Grassland,total,14254.63953
VB052,I,Boelenslaan,Grassland,total,15643.81428
VB053,I,Boelenslaan,Grassland,total,14739.27367
VB054,I,Boelenslaan,Grassland,total,16424.4795
VB055,J,Boelenslaan,Food_forest,total,4356.342472
VB056,J,Boelenslaan,Food_forest,total,6401.342255
VB057,J,Boelenslaan,Food_forest,total,1758.031592
VB058,J,Boelenslaan,Food_forest,total,7469.434354
VB059,J,Boelenslaan,Food_forest,total,11563.95573
VB060,J,Boelenslaan,Food_forest,total,15917.36402
VB061,K,Boelenslaan,Forest,total,7722.048462
VB062,K,Boelenslaan,Forest,total,14866.59992
VB063,K,Boelenslaan,Forest,total,14780.67749
VB064,K,Boelenslaan,Forest,total,21238.17989
VB065,K,Boelenslaan,Forest,total,12286.24984
VB066,K,Boelenslaan,Forest,total,3331.70904
VB067,L,Groesbeek,Arable_field,total,30496.44734
VB068,L,Groesbeek,Arable_field,total,7443.467228
VB069,L,Groesbeek,Arable_field,total,25125.94343
VB070,L,Groesbeek,Arable_field,total,9182.138201
VB071,L,Groesbeek,Arable_field,total,19019.37557
VB072,L,Groesbeek,Arable_field,total,11539.04826
VB073,M,Groesbeek,Forest,total,48962.60852
VB074,M,Groesbeek,Forest,total,32065.3199
VB075,M,Groesbeek,Forest,total,45643.87006
VB076,M,Groesbeek,Forest,total,13111.92618
VB077,M,Groesbeek,Forest,total,24390.83408
VB078,M,Groesbeek,Forest,total,14587.35288
VB081,N,Groesbeek,Grassland,total,76653.61942
VB082,N,Groesbeek,Grassland,total,54120.92252
VB083,N,Groesbeek,Grassland,total,37352.72167
VB084,N,Groesbeek,Grassland,total,41545.27916
VB085,O,Groesbeek,Food_forest,total,28816.59616
VB086,O,Groesbeek,Food_forest,total,14153.22666
VB087,O,Groesbeek,Food_forest,total,5315.586159
VB088,O,Groesbeek,Food_forest,total,17725.3018
VB089,O,Groesbeek,Food_forest,total,13318.08915
VB090,O,Groesbeek,Food_forest,total,33403.78176
VB091,P,Sint-Truiden,Food_forest,total,31433.97265
VB092,P,Sint-Truiden,Food_forest,total,65827.99962
VB093,P,Sint-Truiden,Food_forest,total,41331.58416
VB094,P,Sint-Truiden,Food_forest,total,47458.68385
VB095,P,Sint-Truiden,Food_forest,total,23069.55503
VB096,P,Sint-Truiden,Food_forest,total,48495.59936
VB097,Q,Sint-Truiden,Forest,total,53086.9724
VB098,Q,Sint-Truiden,Forest,total,26413.12254
VB099,Q,Sint-Truiden,Forest,total,29402.05741
VB100,Q,Sint-Truiden,Forest,total,48236.40586
VB101,Q,Sint-Truiden,Forest,total,31197.31818
VB102,Q,Sint-Truiden,Forest,total,15519.0154
VB103,R,Sint-Truiden,Grassland,total,125794.1883
VB104,R,Sint-Truiden,Grassland,total,63500.16376
VB105,R,Sint-Truiden,Grassland,total,35132.90191
VB106,R,Sint-Truiden,Grassland,total,36753.43941
VB107,R,Sint-Truiden,Grassland,total,32899.00295
VB108,R,Sint-Truiden,Grassland,total,38765.98496
VB109,S,Sint-Truiden,Arable_field,total,33784.47579
VB110,S,Sint-Truiden,Arable_field,total,28247.16309
VB111,S,Sint-Truiden,Arable_field,total,12934.74759
VB112,S,Sint-Truiden,Arable_field,total,22286.07852
VB113,S,Sint-Truiden,Arable_field,total,18590.44196
VB114,S,Sint-Truiden,Arable_field,total,31176.78241
VB115,T,Amsterdam,Grassland,total,9568.144066
VB116,T,Amsterdam,Grassland,total,11937.41842
VB117,T,Amsterdam,Grassland,total,7148.007932
VB118,T,Amsterdam,Grassland,total,11404.12145
VB119,T,Amsterdam,Grassland,total,41128.49344
VB120,T,Amsterdam,Grassland,total,13986.48257
VB121,U,Amsterdam,Food_forest,total,18756.10767
VB122,U,Amsterdam,Food_forest,total,27714.10916
VB123,U,Amsterdam,Food_forest,total,20140.76797
VB124,U,Amsterdam,Food_forest,total,7504.619254
VB125,U,Amsterdam,Food_forest,total,34595.55463
VB126,U,Amsterdam,Food_forest,total,25484.15171
VB127,V,Amsterdam,Forest,total,12462.29335
VB128,V,Amsterdam,Forest,total,31729.14082
VB129,V,Amsterdam,Forest,total,22684.48321
VB130,V,Amsterdam,Forest,total,28638.52733
VB131,V,Amsterdam,Forest,total,17180.44237
VB132,V,Amsterdam,Forest,total,24754.67438
VB133,W,Swalmen,Forest,total,12426.39196
VB134,W,Swalmen,Forest,total,18178.79986
VB135,W,Swalmen,Forest,total,24404.22348
VB136,W,Swalmen,Forest,total,25845.35627
VB137,W,Swalmen,Forest,total,9034.047084
VB138,W,Swalmen,Forest,total,14448.55385
VB139,X,Swalmen,Grassland,total,15307.23795
VB140,X,Swalmen,Grassland,total,18543.2564
VB141,X,Swalmen,Grassland,total,19127.68712
VB142,X,Swalmen,Grassland,total,10889.71185
VB143,X,Swalmen,Grassland,total,18295.68715
VB144,X,Swalmen,Grassland,total,15533.57077
VB145,Y,Swalmen,Food_forest,total,23313.71949
VB146,Y,Swalmen,Food_forest,total,29230.63848
VB147,Y,Swalmen,Food_forest,total,17421.29291
VB148,Y,Swalmen,Food_forest,total,25898.21866
VB149,Y,Swalmen,Food_forest,total,29841.30549
VB150,Y,Swalmen,Food_forest,total,33047.44793
